strategy,data_file,timeframe,candles,period,initial_cash,final_equity,cum_return,ann_return,ann_vol,sharpe,mdd,total_trades,buys,sells,total_fees
ma_cross,data/ohlcv_full_BTCUSDT_1h.parquet,1h,55056,2020-01-01 00:00:00+00:00 ~ 2026-04-14 07:00:00+00:00,10000,6615.502959634672,-0.3383007720828094,-0.06355486093603065,0.06833493964144467,-0.9300492730157474,-0.4323503920447096,3639,1820,1819,4843.852722970563
trend_following,data/ohlcv_full_BTCUSDT_1h.parquet,1h,55056,2020-01-01 00:00:00+00:00 ~ 2026-04-14 07:00:00+00:00,10000,9779.65595260085,-0.022034404739915026,-0.0031338457745197037,0.02835295790519186,-0.11052976500329509,-0.06323435198475535,776,388,388,1164.5729926909144
dual_momentum,data/ohlcv_full_BTCUSDT_1h.parquet,1h,55056,2020-01-01 00:00:00+00:00 ~ 2026-04-14 07:00:00+00:00,10000,8296.029961218534,-0.1703970038781466,-0.02925152248728907,0.03294041862062549,-0.8880130766791577,-0.2083796701420214,1073,537,536,1496.656627389311
atr_breakout,data/ohlcv_full_BTCUSDT_1h.parquet,1h,55056,2020-01-01 00:00:00+00:00 ~ 2026-04-14 07:00:00+00:00,10000,8880.626431237708,-0.11193735687622919,-0.017811055541027535,0.045577620109372746,-0.39078511554345113,-0.23210603127141938,1421,711,710,2171.0576803812164
bollinger_squeeze,data/ohlcv_full_BTCUSDT_1h.parquet,1h,55056,2020-01-01 00:00:00+00:00 ~ 2026-04-14 07:00:00+00:00,10000,8935.628293744361,-0.1064371706255639,-0.017845109653898433,0.013560197764597475,-1.3159918433617446,-0.11238170433582206,202,101,101,287.4079149923968
enhanced_trend,data/ohlcv_full_BTCUSDT_1h.parquet,1h,55056,2020-01-01 00:00:00+00:00 ~ 2026-04-14 07:00:00+00:00,10000,10221.79576179044,0.02217957617904398,0.0038676915841490663,0.03168939766725379,0.12205001889397514,-0.06109699322651063,348,174,174,544.9625473567719
enhanced_breakout,data/ohlcv_full_BTCUSDT_1h.parquet,1h,55056,2020-01-01 00:00:00+00:00 ~ 2026-04-14 07:00:00+00:00,10000,10081.155551230251,0.008115555123025198,0.0014859361549217748,0.016872667030758706,0.08806765119733947,-0.03941918744753925,199,100,99,297.15363831525116
ensemble,data/ohlcv_full_BTCUSDT_1h.parquet,1h,55056,2020-01-01 00:00:00+00:00 ~ 2026-04-14 07:00:00+00:00,10000,10275.665703263583,0.02756657032635834,0.0054760022329564,0.04917370585781112,0.11136037313679889,-0.10880909100668312,1123,562,561,1829.7365585097518
ma_cross,data/ohlcv_full_BTCUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,11907.682651645842,0.1910346328151582,0.029916324669882755,0.06448722577236282,0.46391086468849196,-0.16645480047234829,873,437,436,1521.0092717281777
trend_following,data/ohlcv_full_BTCUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,9384.69642587856,-0.06153035741214408,-0.009861386191979958,0.024167421625279153,-0.40804461247354956,-0.09144089843669356,193,97,96,276.17422542833873
