strategy,data_file,timeframe,candles,period,initial_cash,final_equity,cum_return,ann_return,ann_vol,sharpe,mdd,total_trades,buys,sells,total_fees
dual_momentum,data/ohlcv_full_BTCUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,11430.46787317379,0.14304678731737885,0.021816006968525634,0.03093863572176959,0.7051379758309747,-0.04327382250241618,220,110,110,362.9255649163489
atr_breakout,data/ohlcv_full_BTCUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,11790.309894166629,0.17903098941666284,0.027109773256294368,0.043099580732771633,0.6290031780994079,-0.061709427381047455,399,200,199,689.9986054176816
bollinger_squeeze,data/ohlcv_full_BTCUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,9328.633251905918,-0.06713667480940821,-0.011075005101947547,0.015000987478265396,-0.7382850707165508,-0.08107889648724276,62,31,31,89.01261397344538
enhanced_trend,data/ohlcv_full_BTCUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,11278.586624211808,0.12785866242118082,0.019628196866100667,0.031805817190987726,0.6171260039514171,-0.05943514585934295,83,42,41,134.2372318293703
enhanced_breakout,data/ohlcv_full_BTCUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
ensemble,data/ohlcv_full_BTCUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,13915.590825267484,0.3915590825267483,0.054174369590600374,0.05225571977116454,1.0367165513517211,-0.047674309764228484,265,133,132,503.60858481174955
ma_cross,data/ohlcv_full_BTCUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,14308.243350801651,0.43114645036748156,0.060161526865623136,0.07359445489540448,0.8174736391527017,-0.13472041591634942,131,66,65,261.55865339720384
trend_following,data/ohlcv_full_BTCUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10856.409991280569,0.0856409991280569,0.013937239892444182,0.03976237233622819,0.35051328864991305,-0.13286174844068388,50,25,25,78.1224924790918
dual_momentum,data/ohlcv_full_BTCUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,9506.83356036134,-0.049316643963866036,-0.008186351141763372,0.019229140467955,-0.42572631652361403,-0.05911147193578781,28,14,14,40.78590509115226
atr_breakout,data/ohlcv_full_BTCUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,12808.27497611395,0.2808274976113949,0.04078632079796305,0.04641583269801064,0.878715697345066,-0.0730885077937048,82,41,41,149.50508595488287
bollinger_squeeze,data/ohlcv_full_BTCUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10236.248922838095,0.023624892283809373,0.004016181936883799,0.011438742822581557,0.3511034384481687,-0.025026323798643224,8,4,4,12.338167236644216
enhanced_trend,data/ohlcv_full_BTCUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
enhanced_breakout,data/ohlcv_full_BTCUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
ensemble,data/ohlcv_full_BTCUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,13804.712739799594,0.3804712739799594,0.05558720095121032,0.06652869655346126,0.8355372016901895,-0.12964205207849744,48,24,24,92.55978684066415
ma_cross,data/ohlcv_full_ETHUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,10403.449867112158,0.040579195073547014,0.009749499524231148,0.0890823868626881,0.10944362704548562,-0.28238875527426455,3539,1770,1769,6305.020242383206
trend_following,data/ohlcv_full_ETHUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,8973.640673116774,-0.1026359326883226,-0.01659657244056712,0.03504165483901101,-0.47362410583466347,-0.1287688870664454,802,401,401,1151.717862354867
dual_momentum,data/ohlcv_full_ETHUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,9116.830187614316,-0.08831698123856846,-0.01389133989118432,0.043358574100727465,-0.32038276578451574,-0.1441584665444282,1028,514,514,1531.4672572174284
atr_breakout,data/ohlcv_full_ETHUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,8685.429768998634,-0.13145702310013663,-0.020784363082563782,0.05892105632908501,-0.3527493289686885,-0.2762948601381454,1528,764,764,2331.1002462837905
bollinger_squeeze,data/ohlcv_full_ETHUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,10107.486851225376,0.010748685122537571,0.0018389178250454612,0.01859071754282354,0.09891591439171812,-0.05944262498638975,210,105,105,322.222547448524
enhanced_trend,data/ohlcv_full_ETHUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,10896.070270565222,0.08960702705652213,0.014407623545093558,0.04375487072027322,0.32928045055538707,-0.07690560862148288,364,182,182,570.0443033218487
enhanced_breakout,data/ohlcv_full_ETHUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,9233.23253499098,-0.07667674650090195,-0.012400125335968161,0.021112499109629288,-0.5873357422535166,-0.09246468253782436,203,102,101,286.3910162843363
ensemble,data/ohlcv_full_ETHUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,12240.169483508445,0.2240169483508445,0.034122154970167316,0.06591988216451,0.5176307033512932,-0.14616606597867332,1113,557,556,2051.9310764983584
ma_cross,data/ohlcv_full_ETHUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,16797.422687556198,0.680101569630122,0.08620007804390013,0.08761429006287796,0.9838586602830799,-0.15587092246010337,849,425,424,1903.150533412847
trend_following,data/ohlcv_full_ETHUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,11042.88746684196,0.10428874668419597,0.016515011610321702,0.04254761997872552,0.3881535939775554,-0.06855748887048907,220,110,110,339.4330538111715
dual_momentum,data/ohlcv_full_ETHUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,13256.877764588378,0.32568777645883773,0.046092676689483615,0.045009045014308795,1.0240758646135737,-0.06284796053617003,226,113,113,408.92319821126455
atr_breakout,data/ohlcv_full_ETHUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,12383.894006213188,0.23838940062131875,0.03577927689555818,0.060059472940889605,0.5957307838877696,-0.12075200429329314,445,223,222,786.3944973519001
bollinger_squeeze,data/ohlcv_full_ETHUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,10696.314399654608,0.06963143996546073,0.010922428800465166,0.016934472615681463,0.6449819281473179,-0.03448861256544944,58,29,29,91.25807785768869
enhanced_trend,data/ohlcv_full_ETHUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,10681.715782238707,0.06817157822387077,0.010889978735834638,0.03170109714410547,0.3435205629000134,-0.039452822724243,61,31,30,95.62839736526068
enhanced_breakout,data/ohlcv_full_ETHUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
ensemble,data/ohlcv_full_ETHUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,15524.756521732636,0.5524756521732634,0.07283912588198031,0.0732312541211242,0.9946453431005023,-0.0925302898429834,275,138,137,553.2173250432934
ma_cross,data/ohlcv_full_ETHUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,16422.4229472297,0.6425972147744685,0.0860308888830816,0.11369904906113565,0.7566544275675198,-0.1557788986960249,129,65,64,303.41677135465034
trend_following,data/ohlcv_full_ETHUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10061.720094729522,0.006172009472952267,0.003195335003323422,0.06619801003491102,0.04826935132325005,-0.2022235318472715,48,24,24,75.87769070039349
dual_momentum,data/ohlcv_full_ETHUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,13864.08715924177,0.3864087159241769,0.0581020541603666,0.08961792692899447,0.6483307096107382,-0.1422141233715808,42,21,21,82.73495068027626
atr_breakout,data/ohlcv_full_ETHUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,15232.82630512878,0.5232826305128779,0.06950277972771107,0.06292162017548363,1.1045929766711107,-0.0763781565453513,84,42,42,174.93292279617017
bollinger_squeeze,data/ohlcv_full_ETHUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,9530.177216147704,-0.046982278385229614,-0.007952972687468569,0.019468792361616666,-0.40849851081362426,-0.05435478642439473,6,3,3,8.397253868627029
enhanced_trend,data/ohlcv_full_ETHUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
enhanced_breakout,data/ohlcv_full_ETHUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
ensemble,data/ohlcv_full_ETHUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,16221.463950960982,0.6221463950960981,0.0857817520866495,0.10663118416027745,0.8044715320511341,-0.1299406485291833,34,17,17,79.5355871924229
ma_cross,data/ohlcv_full_SOLUSDT_1h.parquet,1h,49713,2020-08-11 06:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,9175.009816125743,-0.0823308623798904,-0.005994831104284239,0.13076489688389398,-0.045844345440513745,-0.3558339913550559,3037,1519,1518,4946.660266382821
trend_following,data/ohlcv_full_SOLUSDT_1h.parquet,1h,49713,2020-08-11 06:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,7962.427832396532,-0.20375721676034686,-0.03854057558793883,0.05418630609787169,-0.7112604339113892,-0.21041977409414026,692,346,346,900.6471889920924
dual_momentum,data/ohlcv_full_SOLUSDT_1h.parquet,1h,49713,2020-08-11 06:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,10262.61959147219,0.02626195914721907,0.007108464280845941,0.06967469642152775,0.10202361324602166,-0.11479410585928596,977,489,488,1505.9213806035027
atr_breakout,data/ohlcv_full_SOLUSDT_1h.parquet,1h,49713,2020-08-11 06:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,8723.950791884885,-0.12760492081151154,-0.019155642942776926,0.09361777003189255,-0.20461545854004642,-0.21288114940187963,1336,668,668,1938.5224216859256
bollinger_squeeze,data/ohlcv_full_SOLUSDT_1h.parquet,1h,49713,2020-08-11 06:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,10529.771313493875,0.05297713134938742,0.009413472146339011,0.025940958784880893,0.3628806561869472,-0.0452097530124852,160,80,80,251.74182101193077
enhanced_trend,data/ohlcv_full_SOLUSDT_1h.parquet,1h,49713,2020-08-11 06:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,10263.407842015298,0.026340784201529743,0.00648942291989195,0.06101698923201193,0.10635436132566481,-0.10220420210226089,302,151,151,470.7242467521081
enhanced_breakout,data/ohlcv_full_SOLUSDT_1h.parquet,1h,49713,2020-08-11 06:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,11061.653954959851,0.10616539549598514,0.018393522436003687,0.03519699113201857,0.5225879214075371,-0.059874621624908086,165,83,82,264.5169069314168
ensemble,data/ohlcv_full_SOLUSDT_1h.parquet,1h,49713,2020-08-11 06:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,12710.05165123756,0.27100516512375594,0.047986725273913206,0.09546760547786444,0.5026493021712687,-0.16309281472728532,945,473,472,1659.5650484090431
ma_cross,data/ohlcv_full_SOLUSDT_4h.parquet,4h,12434,2020-08-11 04:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,18326.935142368933,0.832091534572404,0.11673641733261975,0.13248027598124404,0.8811607348120681,-0.2022526463838017,773,387,386,1901.2345672490328
trend_following,data/ohlcv_full_SOLUSDT_4h.parquet,4h,12434,2020-08-11 04:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,11067.284750831597,0.10672847508315964,0.02004946722906981,0.06191876864932967,0.32380274456512564,-0.12222624615690947,176,88,88,281.77826811970044
dual_momentum,data/ohlcv_full_SOLUSDT_4h.parquet,4h,12434,2020-08-11 04:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,10436.10322523015,0.04361032252301511,0.009734941444531783,0.06095451113874761,0.15970830152690307,-0.13518505501386957,208,104,104,324.5764724032718
atr_breakout,data/ohlcv_full_SOLUSDT_4h.parquet,4h,12434,2020-08-11 04:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,15506.54849650189,0.5506548496501888,0.08179135168468356,0.08800401151155911,0.9294048109728619,-0.12991862708093138,355,178,177,685.7616100500734
bollinger_squeeze,data/ohlcv_full_SOLUSDT_4h.parquet,4h,12434,2020-08-11 04:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,10036.11268148119,0.0036112681481190734,0.0009712021459478427,0.023617231648218547,0.04112260744074033,-0.055291804116656906,46,23,23,69.23799866751713
enhanced_trend,data/ohlcv_full_SOLUSDT_4h.parquet,4h,12434,2020-08-11 04:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,15574.201778178433,0.5574201778178431,0.08136463140025857,0.07735188647452426,1.0518764972332513,-0.10673184427180504,52,26,26,108.50318510702695
enhanced_breakout,data/ohlcv_full_SOLUSDT_4h.parquet,4h,12434,2020-08-11 04:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
ensemble,data/ohlcv_full_SOLUSDT_4h.parquet,4h,12434,2020-08-11 04:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,17209.246610456867,0.7209246610456868,0.10322278578950797,0.1087950149932507,0.9487823113491257,-0.17031717935641022,228,114,114,500.03708613243714
ma_cross,data/ohlcv_full_SOLUSDT_1d.parquet,1d,2073,2020-08-11 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,40858.20994710189,3.0842200737716308,0.27508693386563626,0.22467794742236247,1.2243610778021206,-0.2994558635356579,117,59,58,573.1949989242704
trend_following,data/ohlcv_full_SOLUSDT_1d.parquet,1d,2073,2020-08-11 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10845.884916007693,0.08458849160076931,0.01578960058637804,0.05271248969706301,0.2995419240643124,-0.07690980634276945,28,14,14,43.91848530121566
dual_momentum,data/ohlcv_full_SOLUSDT_1d.parquet,1d,2073,2020-08-11 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,13484.403016073447,0.34844030160734474,0.0606036178414773,0.10630586569025866,0.570087242574994,-0.20627600882725128,28,14,14,58.94379116471838
atr_breakout,data/ohlcv_full_SOLUSDT_1d.parquet,1d,2073,2020-08-11 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,15288.941964986947,0.5292238575544055,0.0803161902930207,0.09811152734867058,0.8186213431044946,-0.09917767572477132,76,38,38,166.773885032879
bollinger_squeeze,data/ohlcv_full_SOLUSDT_1d.parquet,1d,2073,2020-08-11 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10737.420953284185,0.07374209532841847,0.014081294017492394,0.03587201149694454,0.3925426378250143,-0.06123756533562352,12,6,6,19.5023105180137
enhanced_trend,data/ohlcv_full_SOLUSDT_1d.parquet,1d,2073,2020-08-11 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
enhanced_breakout,data/ohlcv_full_SOLUSDT_1d.parquet,1d,2073,2020-08-11 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
ensemble,data/ohlcv_full_SOLUSDT_1d.parquet,1d,2073,2020-08-11 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,28895.00284833039,1.889500284833039,0.21399584522440254,0.19304636356178229,1.1085204677000149,-0.2005404853072269,40,20,20,170.14120842553547
ma_cross,data/ohlcv_full_XRPUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,9789.24197732747,-0.0208781779543471,0.0039016772706213653,0.1296637706651197,0.030090728123803114,-0.3658505018697076,3585,1793,1792,5733.133607471931
trend_following,data/ohlcv_full_XRPUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,8032.296210892971,-0.19677037891070281,-0.03389883511283594,0.037469233698731015,-0.9047111927746548,-0.22569237661532582,674,337,337,904.2467047862851
dual_momentum,data/ohlcv_full_XRPUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,9221.399548094296,-0.07786004519057044,-0.01072494064645024,0.06616654270900132,-0.1620900867294238,-0.2141955159568596,1095,548,547,1679.211423919045
atr_breakout,data/ohlcv_full_XRPUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,11024.74997292607,0.10247499729260712,0.01830002948901625,0.07765227008777932,0.2356663812673338,-0.2062248053662299,1346,673,673,2182.596117387986
bollinger_squeeze,data/ohlcv_full_XRPUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,9744.774091027666,-0.02552259089723341,-0.0039429690962684,0.02182146977387024,-0.18069218695842162,-0.09379250653408866,190,95,95,290.06330720873393
enhanced_trend,data/ohlcv_full_XRPUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,10290.958319983469,0.029095831998346977,0.0056759280523219205,0.05193706668378696,0.10928472504559972,-0.1306568828483461,330,165,165,527.71332908047
enhanced_breakout,data/ohlcv_full_XRPUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,10124.855956854442,0.012485595685444162,0.0023488931471562385,0.026892829398034175,0.08734273037260246,-0.05754991081498673,137,69,68,206.62897343795413
ensemble,data/ohlcv_full_XRPUSDT_1h.parquet,1h,55059,2020-01-01 00:00:00+00:00 ~ 2026-04-14 10:00:00+00:00,10000,13799.146467574725,0.37991464675747255,0.056447593479954046,0.10430404963061674,0.5411831436968829,-0.19876944276622688,991,496,495,1931.4970658338266
ma_cross,data/ohlcv_full_XRPUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,16978.3406852244,0.6981766088055554,0.09281361916449525,0.1368157950255478,0.6783838017129941,-0.2320169564331397,899,450,449,1952.686436894438
trend_following,data/ohlcv_full_XRPUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,12363.565170995631,0.23635651709956318,0.03570781054569038,0.0760388685716057,0.46959944586228003,-0.14505825827489371,130,65,65,233.59953037767764
dual_momentum,data/ohlcv_full_XRPUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,13802.759075920989,0.38027590759209895,0.0540535666164853,0.07637745426655772,0.7077162643720796,-0.14768191286839638,242,121,121,438.07769605017006
atr_breakout,data/ohlcv_full_XRPUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,11430.385588753717,0.14303855887537176,0.02444031745170374,0.08208863193367956,0.2977308413563482,-0.17291223421994528,373,187,186,619.1488621955472
bollinger_squeeze,data/ohlcv_full_XRPUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,9579.645756634158,-0.04203542433658425,-0.006797803845167344,0.01391364452426996,-0.488571044978271,-0.06061362744750365,34,17,17,49.55800186453397
enhanced_trend,data/ohlcv_full_XRPUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,14804.253460677151,0.48042534606771525,0.06513455894901206,0.08973433956187896,0.725859902310539,-0.13427335895967263,58,29,29,125.77968178081223
enhanced_breakout,data/ohlcv_full_XRPUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
ensemble,data/ohlcv_full_XRPUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,16646.403722041738,0.6646403722041738,0.088138284039865,0.12469718931382429,0.7068185299457019,-0.14900764710705017,248,124,124,511.5831609846973
ma_cross,data/ohlcv_full_XRPUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,21249.90193389721,1.1254685832310916,0.13274241471145454,0.15526103700260266,0.8549628243715414,-0.17473318860137255,129,65,64,327.36788954623444
trend_following,data/ohlcv_full_XRPUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,8820.138222203886,-0.1179861777796114,-0.01987283568693053,0.020773207231738762,-0.9566570758323136,-0.12911138760977625,38,19,19,52.11309271273982
dual_momentum,data/ohlcv_full_XRPUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,15649.319230391018,0.5649319230391019,0.08058747489018182,0.11471208771799819,0.7025194684590786,-0.24566268745232567,58,29,29,113.36346893130086
atr_breakout,data/ohlcv_full_XRPUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,13717.985169093623,0.3717985169093623,0.05476021596901867,0.09100122545607477,0.601752511507101,-0.218491645812531,70,35,35,130.679127316348
bollinger_squeeze,data/ohlcv_full_XRPUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10506.26017989956,0.05062601798995603,0.00904735652271178,0.03781784044166345,0.23923514449294636,-0.04501510938624953,10,5,5,16.17581130672889
enhanced_trend,data/ohlcv_full_XRPUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
enhanced_breakout,data/ohlcv_full_XRPUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
ensemble,data/ohlcv_full_XRPUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,15891.992963529021,0.589199296352902,0.08568817528774576,0.1354406923230398,0.63266197047146,-0.26705088044778036,48,24,24,98.20661729107518
