strategy,data_file,coin,timeframe,candles,period,initial_cash,final_equity,cum_return,ann_return,ann_vol,sharpe,calmar,mdd,win_rate,profit_factor,avg_win,avg_loss,total_roundtrips,total_trades,buys,sells,total_fees
macd_volume,data/ohlcv_full_BTCKRW_1h.parquet,BTCKRW,1h,51353,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,10842.155422802807,0.08421554228028061,0.01749522796118259,0.08517826922739444,0.20539543852753586,0.07753344762031796,-0.2256474914772184,0.3073286052009456,1.0524796797577174,129.91863250540078,-54.768828678837195,423,846,423,423,2598.804890900369
multi_factor,data/ohlcv_full_BTCKRW_1h.parquet,BTCKRW,1h,51353,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,8928.949791916191,-0.10710502080838091,-0.002535843620692498,0.18701263210084598,-0.013559745094178946,-0.0057996345233293275,-0.437241969383784,0.299390774586597,0.9803769510824095,155.5528573891291,-67.80277409930954,1149,2298,1149,1149,7145.166803588479
ma_cross,data/ohlcv_full_ETHKRW_1h.parquet,ETHKRW,1h,51350,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,16712.137081457146,0.6715481013433884,0.09276898956732751,0.1033430875105704,0.8976796784491367,0.725254652752469,-0.1279122984106722,0.3076923076923077,1.1559176738735584,97.95546314344037,-37.66337549904685,1651,3302,1651,1651,5028.584259860325
trend_following,data/ohlcv_full_ETHKRW_1h.parquet,ETHKRW,1h,51350,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,10642.635481247966,0.06426354812479662,0.011710916627941345,0.048890979374812085,0.23953123413467775,0.12768889303093403,-0.09171445025352798,0.19428571428571428,1.1081530180465042,96.8315487183869,-21.070602239724547,350,700,350,350,771.4659973059238
dual_momentum,data/ohlcv_full_ETHKRW_1h.parquet,ETHKRW,1h,51350,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,11516.271050713967,0.15162710507139665,0.025428733017071742,0.0531344641540087,0.47857324660108974,0.2466758170695908,-0.10308563408812488,0.29836829836829837,1.1890875727282946,74.49338805679363,-26.640806048357536,429,858,429,429,1015.7220866139418
atr_breakout,data/ohlcv_full_ETHKRW_1h.parquet,ETHKRW,1h,51350,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,13869.730250611325,0.3869730250611325,0.058216011485466346,0.06903623784713214,0.8432674389576611,0.8505191896099716,-0.06844761669788113,0.4209770114942529,1.165431767527601,93.04242352992607,-58.04392020758572,696,1392,696,696,1810.0757747724545
bollinger_squeeze,data/ohlcv_full_ETHKRW_1h.parquet,ETHKRW,1h,51350,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,10378.689932213107,0.037868993221310765,0.006518480371695869,0.018851243370310265,0.34578516882426724,0.07841404382789591,-0.08312899135675611,0.42857142857142855,1.2078148306301324,61.13713440502439,-37.96347721599533,84,168,84,84,175.9172649791771
enhanced_trend,data/ohlcv_full_ETHKRW_1h.parquet,ETHKRW,1h,51350,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,10006.150310431087,0.0006150310431087824,0.0008339103798864734,0.041225849654993124,0.02022785186588011,0.008044663000744924,-0.10366007622708495,0.2916666666666667,1.0014994569477635,97.8057671380166,-40.21266577809425,144,288,144,144,299.9641013377208
enhanced_breakout,data/ohlcv_full_ETHKRW_1h.parquet,ETHKRW,1h,51350,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,12681.534966152269,0.2681534966152268,0.04119380642211579,0.037533728607376915,1.097514367728497,0.7236207653519795,-0.05692734149406964,0.46405228758169936,1.591951181933196,101.57082250752754,-55.24382234002662,153,306,153,153,361.6553504368214
ensemble,data/ohlcv_full_ETHKRW_1h.parquet,ETHKRW,1h,51350,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,22325.83612239465,1.2325836122394649,0.14011957186584745,0.08086296160826961,1.7328028689192239,1.9147560627848186,-0.07317881091346068,0.3852813852813853,1.7159225483289215,165.96940124250267,-60.62224400975645,462,924,462,462,1631.096820899466
