strategy,data_file,coin,timeframe,candles,period,initial_cash,final_equity,cum_return,ann_return,ann_vol,sharpe,calmar,mdd,win_rate,profit_factor,avg_win,avg_loss,total_roundtrips,total_trades,buys,sells,total_fees
ma_cross,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,34295.437441479095,2.4295437441479093,0.15795729059187788,0.16765113529859044,0.9421784726337237,0.521628901824499,-0.3028154499086799,0.3370738023305999,1.1698891012032553,212.08849195389232,-92.17904983874412,2317,4635,2318,2317,14746.610719077056
trend_following,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,12168.724841660609,0.21687248416606097,0.02647191692091497,0.09741969559511532,0.2717306470619947,0.16583072916172653,-0.15963215656449525,0.17744916820702403,1.1845868393973547,144.97709418757162,-26.402418427744443,541,1082,541,541,1308.230838151782
dual_momentum,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,11474.949883758556,0.14749498837585562,0.019213203401113287,0.09353000006211186,0.20542289520099075,0.09572952126769635,-0.2007030135175344,0.30707610146862485,1.09885002569776,70.90238350132792,-28.59452525194067,749,1499,750,749,1813.2826608153352
atr_breakout,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,12867.108718467458,0.2867108718467457,0.03444540180555717,0.10382975738687696,0.3317488422599259,0.14645195846926906,-0.23519932519467546,0.3925143953934741,1.0650128401832342,114.83560371261999,-69.66927835702073,1042,2084,1042,1042,2733.9253563912143
bollinger_squeeze,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,9408.916561608006,-0.059108343839199384,-0.006902357211014181,0.02428527806787843,-0.28421981380808437,-0.05812412161433192,-0.11875202616832514,0.34615384615384615,0.8361554294067189,67.03339830673114,-42.44219249641061,130,260,130,130,253.9056600329957
enhanced_trend,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,10773.617530563188,0.07736175305631887,0.011264041347645129,0.08659320119922609,0.1300799738492139,0.07569000132032802,-0.14881808892959103,0.3029045643153527,1.0885427582814138,130.2854413002059,-52.00726002590388,241,482,241,241,560.6757589624772
enhanced_breakout,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,11399.191132727894,0.1399191132727895,0.016193471358242693,0.03748950807967323,0.4319467548999617,0.23893552323824935,-0.06777339400410876,0.3949579831932773,1.345443973918105,116.1104215479154,-56.3340461767178,119,239,120,119,264.29845343827446
ensemble,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,27343.511577924237,1.7343511577924238,0.12694147192366395,0.14220850660674647,0.8926433091221923,0.7467960721981707,-0.16998144024682527,0.34812760055478503,1.3883230627864054,245.90815649070402,-94.59283884496875,721,1443,722,721,3481.956357007882
supertrend,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,22085.839557659416,1.2085839557659415,0.10151345177213887,0.14628181362047116,0.6939581159064792,0.7109809798856926,-0.14277941976415265,0.3705103969754253,1.366491068271816,229.91333210863948,-99.03055115805955,529,1058,529,529,2082.4255871613996
adaptive_regime,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,14772.534752879621,0.477253475287962,0.05665801208514186,0.1622737081946754,0.34915090506726826,0.16003335171913122,-0.35403877676960904,0.36588306208559374,1.0731009797648237,114.22220039805912,-61.41619154907422,1659,3319,1660,1659,5169.92183440708
macd_volume,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,20074.20076691181,1.0074200766911812,0.08638579093301577,0.08739951327522183,0.9884012815952161,1.1812715191581125,-0.0731294960818164,0.37344913151364767,1.4417807021747386,109.22865178598533,-45.15568994192035,806,1612,806,806,2728.8245126704282
multi_factor,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,30610.200802012598,2.06102008020126,0.14538140167831867,0.17332686357187244,0.8387701633866781,0.4639295613827521,-0.31336955818151,0.32887855897733875,1.1800123359832608,236.7266887844831,-98.30941751667223,1721,3443,1722,1721,10202.706223347348
supertrend_ensemble,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,22802.962446589932,1.2802962446589934,0.10588589795808165,0.14365823827455879,0.7370680528253177,0.43027967489384583,-0.24608621818768095,0.33755274261603374,1.2146900186053113,181.12183832949393,-75.97937018881963,1185,2371,1186,1185,5320.1307928391525
champion,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,17790.931377926274,0.7790931377926273,0.07606122734112875,0.13168732101534056,0.5775896020520503,0.3981954908633034,-0.19101478817810524,0.34101382488479265,1.184243154445326,166.97499656153175,-72.9635981031,868,1737,869,868,2944.778913867606
champion_v2,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,16868.03032342648,0.686803032342648,0.07121584264948339,0.15347715411512725,0.46401591858810787,0.24023345768701543,-0.2964443143553537,0.34406130268199236,1.1135214823502029,147.9372046782223,-69.68693837625108,1305,2611,1306,1305,4701.863197535848
ensemble_short,data/ohlcv_full_BNBUSDT_1h.parquet,BNBUSDT,1h,73833,2017-11-06 03:00:00+00:00 ~ 2026-04-14 13:00:00+00:00,10000,28682.426689856235,1.8682426689856233,0.13918227012530887,0.1776221964627579,0.7835860207578712,0.4312633294690475,-0.32273152066101407,0.641185647425897,10.187010387485294,8814.869965736196,-1546.2622275231697,1282,2804,1522,1282,8584.099625617771
ma_cross,data/ohlcv_full_BTCKRW_1h.parquet,BTCKRW,1h,51353,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,6947.243695324591,-0.3051199332493374,-0.042427041832366626,0.1968481099712306,-0.2155318729671919,-0.07871592611851223,-0.538989298917872,0.27564102564102566,0.9531507203992923,131.30753829073132,-52.42254377811048,1716,3432,1716,1716,10011.284779200789
